station_id;station_name;lat;lon;altitude;from_date;to_date;fed_state
06279;Aßling;47.9869;11.9942;500;20030428;20190623;Bayern
06280;Aying (Brauerei);47.9710;11.7747;600;20030428;20190623;Bayern
06281;Neunburg vorm Wald-Eixendorf(Seemeister);49.3608;12.4477;420;20030428;20190623;Bayern
06282;Altendorf/Oberfranken;49.7978;10.9998;250;20030427;20190623;Bayern
06283;Colmberg-Binzwangen;49.3826;10.3733;434;20030428;20190623;Bayern
06284;Herrieden (Kläranlage);49.2289;10.5044;420;20030513;20190623;Bayern
06285;Amorbach-Neudorf;49.6546;9.2609;420;20030428;20190623;Bayern
06286;Ampfing (Kläranlage);48.2612;12.4292;400;20030428;20190623;Bayern
06287;Gräfendorf,Kr.Main-Spessart (Kläranlage);50.1141;9.7350;160;20030428;20190623;Bayern
06288;Gramais/Österreich;47.2711;10.5350;1320;20031027;20190623;Tirol
06290;Hinterhornbach/Österreich;47.3597;10.4572;1100;20060424;20190623;Tirol
06292;Nordseeboje 3;54.6833;6.7833;5;20090423;20100725;Hamburg
06293;Lenggries (Sylvenstein);47.5899;11.5504;737;20030420;20190623;Bayern
06294;Weiler-Simmerberg (Kläranlage);47.5738;9.9033;600;20031025;20190623;Bayern
06295;Miesbach (Kläranlage);47.8030;11.8250;650;20031023;20190623;Bayern
06296;Moos,Kr. Deggendorf-Maxmühle;48.7751;12.9578;320;20030428;20190623;Bayern
06297;Pleiskirchen;48.3014;12.6025;450;20030428;20190623;Bayern
06298;Plößberg-Liebenstein (Speicher);49.8128;12.3293;530;20030428;20190623;Bayern
06299;Ruhpolding (Kläranlage);47.7733;12.6441;650;20030428;20190623;Bayern
06300;Schwangau-Horn (LfW);47.5768;10.7179;796;20031010;20190623;Bayern
06301;Untergschwend/Österreich;47.5067;10.5019;1040;20060531;20190623;Tirol
06303;Willingen/Hochsauerland;51.2915;8.5982;584;20030307;20190623;Hessen
06305;Mühlhausen/Thüringen-Görmar;51.2061;10.4978;193;20041201;20190623;Thüringen
06307;Garmisch-Partenkirchen-Griesen;47.4772;10.9403;825;20031010;20190623;Bayern
06310;Karlshagen;54.1049;13.8239;1;20040801;20190623;Mecklenburg-Vorpommern
06312;Markt Erlbach-Mosbach;49.5314;10.6418;362;20041101;20190623;Bayern
06313;Breckerfeld-Wengeberg;51.2488;7.4672;440;20041201;20190623;Nordrhein-Westfalen
06314;Nossen;51.0507;13.3003;308;20050801;20190623;Sachsen
06315;Büchelberg;49.0236;8.1788;123;20090915;20190623;Rheinland-Pfalz
06316;Bundenthal;49.0905;7.8157;203;20090915;20190623;Rheinland-Pfalz
06317;Dannstadt-Schauernheim;49.4371;8.3133;97;20090915;20190623;Rheinland-Pfalz
06318;Enkenbach;49.5284;7.8887;261;20090915;20190623;Rheinland-Pfalz
06319;Hoppstädten-Weiersbach;49.6147;7.2025;330;20090915;20100426;Rheinland-Pfalz
06320;Kirchweiler;50.2272;6.7524;570;20090915;20190623;Rheinland-Pfalz
06321;Kirf-Beuren;49.5573;6.4541;327;20090915;20190623;Rheinland-Pfalz
